"Snumber","UpDown","Sname","TSname","Tsnumber","PR","Tstype","Tsskip","Tstartpos","Slenth","Sstarttospurlenth","stoppos","Tgradient","CF","PLS","OPENDOOR","Signalorpos","SignalorV","NPAPRnumber","NPAPRpos","PAPRcode","Psignalpos","FDSNPAPRcode","FRSNPAPRcode","BDSNPAPRcode","BRSNPAPRcode","Reserve","CODE7473","CODE7458","CODE5958","CODE5937","CODE3837","CODE3827","CODE3800","CODE2827","CODE2819","CODE2800","CODE2000","CODE00","R6","POINT1x","POINT1y","POINT2x","POINT2y","POINT3x","POINT3y","POINT4x","POINT4y"
"1","上行","东直门","2G","0x21A2018E","POINT_NOML","TRACK_UP","SKIP_INVALID",3976250,"23500","0","0","0","0xF5","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x2102018E","2000","0","0","0x1FA2018C","0x00000000","0x21020190","0x00000000","300","74/73_4/4N","74/58_3/3N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","2G","0","0","0","0","0","0","0","0"
"1","上行","东直门","4G","0x21A20190","POINT_NOML","TRACK_UP","SKIP_INVALID",4002250,"26000","0","0","0","0xF2","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x21020190","2000","0","0","0x21A2018E","0x00000000","0x21020192","0x00000000","300","74/73_4/4N","74/58_3/3N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","4G","0","0","0","0","0","0","0","0"
"1","上行","东直门","6G","0x21A20192","POINT_NOML","TRACK_UP","SKIP_INVALID",4028250,"26000","0","0","0","0xF7","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x21020192","2000","0","0","0x21A20190","0x00000000","0x21020194","0x00000000","300","","","59/58_3/3N","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","6G","0","0","0","0","0","0","0","0"
"1","上行","东直门","8G","0x21A20194","POINT_NOML","TRACK_UP","SKIP_INVALID",4042150,"13900","0","0","0","0xF5","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x21020194","2000","0","0","0x21A20192","0x00000000","0x21020196","0x00000000","300","","","59/58_3/3N","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","8G","0","0","0","0","0","0","0","0"
"1","上行","东直门","10G","0x21A20196","POINT_NOML","TRACK_STATION_UP","SKIP_INVALID",4057000,"14850","0","12600","0","0xF2","80","DOOR_RIGHT","14400","SIGLAMP_VALID","0x21020196","20","0","0","0x21A20194","0x00000000","0x21020198","0x210F0002","300","","","59/58_3/3N","59/37_2/2N","","","38/0_1/0N","28/27_2/2N","","28/0_1/0N","","0/0_0/0N","10G","0","0","0","0","0","0","0","0"
"1","上行","东直门","2-4DG","0x21A20198","POINT_NOML","TRACK_UP","SKIP_INVALID",4065500,"8500","0","0","0","0xF7","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x21020198","20","0","0","0x21A20196","0x00000000","0x2102019A","0x00000000","300","","","59/58_4/4N","59/37_3/3N","38/37_2/1N","","","","","","","","2-4DG","0","0","0","0","0","0","0","0"
"1","上行","东直门","12G","0x21A2019A","POINT_NOML","TRACK_UP","SKIP_INVALID",4081150,"15650","0","0","0","0xF5","80","DOOR_FORBID","13150","SIGLAMP_INVALID","0x2102019A","20","0","0","0x21A20198","0x215E0004","0x2102019C","0x00000000","300","","","59/58_4/4N","59/37_2/2N","","","","","","28/0_1/0N","","","12G","0","0","0","0","0","0","0","0"
"1","上行","东直门","14G","0x21A2019C","POINT_NOML","TRACK_UP","SKIP_INVALID",4090200,"9050","0","0","0","0xF2","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x2102019C","20","0","0","0x21A2019A","0x00000000","0x00000000","0x00000000","300","","","","","","","","","","","","0/0_0/0N","14G","0","0","0","0","0","0","0","0"
"1","上行","东直门","13G","0x21A40201","POINT_NOML","TRACK_UP","SKIP_INVALID",4081150,"15650","0","0","0","0xF1","80","DOOR_FORBID","13150","SIGLAMP_INVALID","0x21040201","1365","0","0","0x21A4019F","0x21AF0003","0x00000000","0x00000000","300","","","","","","","","28/27_2/2R1","","28/0_1/0N","","","13G","0","0","0","0","0","0","0","0"
"1","上行","东直门","1-3DG","0x21A4019F","POINT_NOML","TRACK_UP","SKIP_INVALID",4065500,"8500","1500","0","0","0xF6","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x2104019F","6500","0","0","0x00000000","0x00000000","0x21040201","0x00000000","300","","","","","","","","28/27_2/1N","","","","0/0_0/0N","1-3DG","0","0","0","0","0","0","0","0"
"1","上行","东直门","1-3DG_2-4DG_3","0x21AF0003","POINT_REVES","TRACK_FERRY","SKIP_INVALID",4064000,"3000","0","0","0","0xF4","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x210F0003","2000","0","0","0x00000000","0x21AF0002","0x21040201","0x00000000","300","","","","","","","","28/27_2/2NS","","","","","1-3DG_2-4DG_3","0","0","0","0","0","0","0","0"
"1","上行","东直门","1-3DG_2-4DG_2","0x21AF0002","POINT_REVES","TRACK_FERRY","SKIP_INVALID",4061000,"3700","0","0","0","0xF4","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x210F0002","2000","0","0","0x21A20196","0x00000000","0x00000000","0x210F0003","300","","","","","","","","28/27_1/1NS","","","","","1-3DG_2-4DG_2","0","0","0","0","0","0","0","0"
"2","上行","柳芳","2G","0x1FA20180","POINT_NOML","TRACK_UP","SKIP_INVALID",3847250,"20000","0","0","0","0xF7","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x1F020180","2000","0","0","0x1DA2017E","0x00000000","0x1F020182","0x00000000","300","74/73_4/4N","74/58_2/2N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","2G","0","0","0","0","0","0","0","0"
"2","上行","柳芳","4G","0x1FA20182","POINT_NOML","TRACK_UP","SKIP_INVALID",3865250,"18000","0","0","0","0xF5","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x1F020182","2000","0","0","0x1FA20180","0x00000000","0x1F020184","0x00000000","300","74/73_3/3N","74/58_3/3N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","4G","0","0","0","0","0","0","0","0"
"2","上行","柳芳","6G","0x1FA20184","POINT_NOML","TRACK_STATION_UP","SKIP_VALID",3880250,"15000","0","12750","0","0xF2","80","DOOR_RIGHT","14250","SIGLAMP_VALID","0x1F020184","2000","0","0","0x1FA20182","0x00000000","0x1F020186","0x00000000","300","","74/58_3/3N","","59/37_2/2N","","","38/0_1/0N","","","","","0/0_0/0N","6G","0","0","0","0","0","0","0","0"
"2","上行","柳芳","8G","0x1FA20186","POINT_NOML","TRACK_UP","SKIP_INVALID",3897250,"17000","0","0","0","0xF7","80","DOOR_FORBID","16250","SIGLAMP_INVALID","0x1F020186","2000","0","0","0x1FA20184","0x00000000","0x1F020188","0x00000000","300","","74/58_3/3N","","59/37_2/1N","","","38/0_1/1N","","","","","0/0_0/0N","8G","0","0","0","0","0","0","0","0"
"2","上行","柳芳","10G","0x1FA20188","POINT_NOML","TRACK_UP","SKIP_INVALID",3915750,"18500","0","0","0","0xF5","80","DOOR_FORBID","17750","SIGLAMP_INVALID","0x1F020188","2000","0","0","0x1FA20186","0x00000000","0x1F02018A","0x00000000","300","74/73_4/4N","74/58_2/2N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","10G","0","0","0","0","0","0","0","0"
"2","上行","柳芳","12G","0x1FA2018A","POINT_NOML","TRACK_UP","SKIP_INVALID",3934250,"18500","0","0","0","0xF2","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x1F02018A","2000","0","0","0x1FA20188","0x00000000","0x1F02018C","0x00000000","300","74/73_3/3N","74/58_3/3N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","12G","0","0","0","0","0","0","0","0"
"2","上行","柳芳","14G","0x1FA2018C","POINT_NOML","TRACK_UP","SKIP_INVALID",3952750,"18500","0","0","0","0xF7","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x1F02018C","2000","0","0","0x1FA2018A","0x00000000","0x2102018E","0x00000000","300","74/73_4/4N","74/58_3/3N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","14G","0","0","0","0","0","0","0","0"
"3","上行","光熙门","2G","0x1DA20170","POINT_NOML","TRACK_UP","SKIP_INVALID",3713750,"20000","0","0","0","0xF5","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x1D020170","0","0","0","0x1BA2016E","0x00000000","0x1D020172","0x00000000","300","74/73_3/3N","74/58_3/3N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","2G","0","0","0","0","0","0","0","0"
"3","上行","光熙门","4G","0x1DA20172","POINT_NOML","TRACK_UP","SKIP_INVALID",3733750,"20000","0","0","0","0xF2","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x1D020172","0","0","0","0x1DA20170","0x00000000","0x1D020174","0x00000000","300","74/73_4/4N","74/58_3/3N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","4G","0","0","0","0","0","0","0","0"
"3","上行","光熙门","6G","0x1DA20174","POINT_NOML","TRACK_UP","SKIP_INVALID",3751750,"18000","0","0","0","0xF7","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x1D020174","0","0","0","0x1DA20172","0x00000000","0x1D020176","0x00000000","300","74/73_4/4N","74/58_3/3N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","6G","0","0","0","0","0","0","0","0"
"3","上行","光熙门","8G","0x1DA20176","POINT_NOML","TRACK_STATION_UP","SKIP_VALID",3767600,"15850","0","13600","0","0xF5","80","DOOR_RIGHT","15100","SIGLAMP_VALID","0x1D020176","0","0","0","0x1DA20174","0x00000000","0x1D020178","0x1D0F0002","300","","","59/58_3/3N","59/37_2/2N","","","38/0_1/0N","","","","","0/0_0/0N","8G","0","0","0","0","0","0","0","0"
"3","上行","光熙门","2DG","0x1DA20178","POINT_NOML","TRACK_UP","SKIP_INVALID",3773100,"5500","0","0","0","0xF2","80","DOOR_FORBID","5500","SIGLAMP_INVALID","0x1D020178","0","0","0","0x1DA20176","0x00000000","0x1D02017A","0x00000000","300","","74/58_3/3N","","59/37_2/1N","","","38/0_1/1N","","","","","0/0_0/0N","2DG","0","0","0","0","0","0","0","0"
"3","上行","光熙门","10G","0x1DA2017A","POINT_NOML","TRACK_UP","SKIP_INVALID",3785250,"12150","0","0","0","0xF7","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x1D02017A","0","0","0","0x1DA20178","0x00000000","0x1D02017C","0x00000000","300","","74/58_4/4N","","59/37_2/2N","","","38/0_2/2N","","","","","0/0_1/1N","10G","0","0","0","0","0","0","0","0"
"3","上行","光熙门","12G","0x1DA2017C","POINT_NOML","TRACK_UP","SKIP_INVALID",3805250,"20000","0","0","0","0xF5","80","DOOR_FORBID","19250","SIGLAMP_INVALID","0x1D02017C","0","0","0","0x1DA2017A","0x00000000","0x1D02017E","0x00000000","300","74/73_4/4N","74/58_3/3N","","59/37_3/3N","","","38/0_1/0N","","","","","0/0_0/0N","12G","0","0","0","0","0","0","0","0"
"3","上行","光熙门","14G","0x1DA2017E","POINT_NOML","TRACK_UP","SKIP_INVALID",3827250,"22000","0","0","0","0xF2","80","DOOR_FORBID","21250","SIGLAMP_INVALID","0x1D02017E","0","0","0","0x1DA2017C","0x00000000","0x1F020180","0x00000000","300","74/73_4/4N","74/58_4/4N","","59/37_2/1N","","","38/0_1/1N","","","","","0/0_0/0N","14G","0","0","0","0","0","0","0","0"
"3","上行","光熙门","11G","0x1DA40183","POINT_NOML","TRACK_UP","SKIP_INVALID",3806750,"20500","0","0","0","0xF3","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x1D040183","0","0","0","0x1DA40181","0x00000000","0x00000000","0x00000000","300","74/73_4/4N","74/58_3/3N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","11G","0","0","0","0","0","0","0","0"
"3","上行","光熙门","9G","0x1DA40181","POINT_NOML","TRACK_UP","SKIP_INVALID",3786250,"12150","0","0","0","0xF1","80","DOOR_FORBID","11350","SIGLAMP_INVALID","0x1D040181","0","0","0","0x1DA4017F","0x1DAF0001","0x1D040183","0x00000000","300","74/73_4/4N","74/58_3/3N","","59/37_2/2N","","","38/0_1/1N","","","","","0/0_0/0N","9G","0","0","0","0","0","0","0","0"
"3","上行","光熙门","1DG","0x1DA4017F","POINT_NOML","TRACK_UP","SKIP_INVALID",3774100,"5400","200","0","0","0xF6","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x1D04017F","0","0","0","0x1DA4017D","0x00000000","0x1D040181","0x00000000","300","74/73_4/4N","74/58_4/4N","","59/37_3/3N","","","38/0_2/2N","","","","","0/0_4/4N","1DG","0","0","0","0","0","0","0","0"
"3","上行","光熙门","7G","0x1DA4017D","POINT_NOML","TRACK_STATION_UP","SKIP_VALID",3768700,"15450","0","14700","0","0xF3","80","DOOR_LEFT","14700","SIGLAMP_INVALID","0x1D04017D","0","0","0","0x1DA4017B","0x00000000","0x1D04017F","0x00000000","300","","","59/58_4/4N","59/37_3/3N","","","38/0_1/0N","","","","","0/0_0/0N","7G","0","0","0","0","0","0","0","0"
"3","上行","光熙门","5G","0x1DA4017B","POINT_NOML","TRACK_UP","SKIP_INVALID",3753250,"18500","0","0","0","0xF1","80","DOOR_FORBID","0","SIGLAMP_INVALID","0x1D04017B","0","0","0","0x00000000","0x00000000","0x1D04017D","0x00000000","300","","74/58_4/4N","","59/37_2/1N","","","38/0_1/1N","","","","","0/0_0/0N","5G","0","0","0","0","0","0","0","0"
